user_id,item_id,interaction
26,1126,5
68,1135,4
104,1113,3
93,1093,4
143,1136,5
24,1133,1
73,1070,4
90,1061,4
111,1048,1
43,1063,4
137,1031,5
69,1050,3
128,1117,2
136,1098,2
1,1127,4
76,1134,3
56,1062,5
7,1001,4
20,1040,5
45,1145,2
70,1081,1
57,1057,5
113,1077,1
35,1068,1
57,1085,2
39,1133,3
5,1007,3
138,1166,4
88,1135,4
73,1136,5
84,1007,5
2,1048,5
145,1102,5
119,1053,4
94,1162,5
93,1175,4
72,1076,5
24,1025,2
11,1049,5
36,1187,5
62,1123,4
136,1144,4
93,1110,4
150,1080,1
101,1066,3
68,1136,4
124,1158,2
20,1155,5
5,1028,3
20,1176,3
34,1047,2
124,1181,3
31,1132,1
74,1156,2
128,1145,2
131,1188,5
84,1105,2
147,1081,2
22,1182,5
120,1200,3
68,1072,5
48,1078,1
17,1076,5
13,1019,5
94,1010,5
108,1045,2
138,1127,2
77,1010,3
68,1131,4
111,1098,1
143,1069,2
125,1003,5
21,1198,2
54,1067,4
144,1050,1
60,1195,4
36,1153,2
49,1050,3
5,1175,1
44,1167,1
55,1181,4
44,1123,1
40,1200,5
132,1152,2
141,1020,4
80,1127,2
30,1131,1
137,1038,2
55,1044,4
118,1182,4
150,1176,2
45,1137,5
136,1160,4
101,1126,3
30,1028,4
27,1067,1
65,1086,1
13,1068,1
135,1055,2
107,1023,2
111,1158,1
117,1042,4
94,1164,3
18,1154,4
6,1159,2
80,1009,3
50,1023,2
77,1071,3
106,1070,3
88,1190,5
150,1088,5
5,1033,1
77,1172,2
76,1174,4
7,1061,4
121,1171,2
86,1005,4
108,1081,2
57,1131,1
52,1070,4
122,1176,2
141,1056,5
77,1151,3
110,1094,1
86,1128,5
42,1153,3
144,1049,5
44,1083,2
60,1066,5
83,1079,5
64,1062,3
145,1124,1
134,1089,4
36,1070,4
78,1106,2
33,1033,5
118,1069,1
46,1149,2
117,1192,1
143,1160,1
46,1177,5
106,1109,2
43,1033,4
97,1094,4
35,1178,2
96,1181,2
113,1120,4
147,1028,4
10,1152,1
14,1139,1
86,1121,5
2,1120,5
32,1082,2
143,1105,4
49,1086,4
83,1167,3
65,1009,1
59,1011,2
11,1132,1
28,1058,3
9,1031,1
101,1056,4
55,1067,3
43,1129,3
93,1050,4
8,1166,1
144,1103,3
129,1101,1
45,1162,4
10,1088,1
47,1006,4
128,1020,4
6,1105,3
150,1003,1
145,1027,4
12,1006,2
107,1183,1
41,1140,4
37,1062,2
70,1048,5
108,1039,4
94,1098,2
50,1175,3
62,1021,1
111,1132,3
136,1185,5
93,1069,2
59,1062,5
79,1007,3
48,1152,3
127,1177,3
106,1094,4
78,1165,3
25,1136,1
68,1048,2
136,1110,5
50,1135,1
34,1140,2
76,1127,5
92,1070,4
69,1113,1
96,1158,1
126,1075,3
62,1062,3
95,1030,5
79,1052,5
109,1171,5
77,1114,5
145,1181,2
114,1183,4
123,1090,3
125,1121,5
98,1023,1
9,1017,5
95,1077,5
98,1196,4
35,1051,4
13,1027,1
5,1190,1
45,1166,2
56,1137,3
21,1194,2
44,1160,2
19,1042,3
150,1047,2
122,1159,5
19,1005,2
104,1100,5
6,1185,2
134,1177,1
71,1092,1
145,1101,1
69,1186,4
103,1178,2
141,1138,3
55,1027,2
89,1030,2
92,1107,2
17,1181,1
125,1148,1
134,1069,3
105,1093,2
94,1170,2
74,1093,1
40,1016,5
131,1111,2
38,1025,1
87,1030,2
47,1002,5
10,1187,2
16,1020,1
149,1106,3
100,1047,4
150,1097,4
129,1083,2
34,1196,5
22,1161,1
67,1089,4
12,1001,5
48,1185,5
140,1025,3
37,1099,2
54,1127,2
8,1035,1
150,1021,5
127,1056,4
20,1053,1
87,1068,1
46,1109,1
127,1014,4
82,1091,1
34,1033,3
9,1016,4
117,1194,5
19,1161,4
82,1130,2
104,1062,2
129,1130,5
73,1143,5
142,1009,2
13,1093,1
125,1020,4
97,1132,4
82,1074,3
130,1091,1
38,1152,2
38,1172,1
92,1066,1
44,1048,3
85,1024,5
112,1184,3
137,1110,5
63,1121,5
85,1107,2
58,1060,5
128,1156,4
123,1139,1
67,1160,4
125,1185,5
29,1085,3
80,1004,3
103,1181,3
74,1105,1
106,1040,5
42,1091,2
37,1055,2
13,1097,3
99,1182,4
87,1119,3
60,1136,4
80,1027,1
132,1060,2
115,1047,1
87,1190,4
15,1049,3
148,1018,5
109,1158,5
38,1158,2
58,1150,5
88,1076,1
70,1056,5
12,1048,3
27,1199,5
35,1070,2
81,1074,1
42,1121,3
84,1011,5
35,1078,1
75,1055,2
69,1066,4
5,1164,4
105,1134,2
136,1133,2
59,1140,4
113,1063,3
3,1051,3
40,1049,1
75,1019,1
73,1138,1
94,1133,3
5,1028,3
1,1190,4
114,1177,4
21,1154,3
125,1131,5
122,1104,1
32,1042,5
113,1017,3
50,1060,3
113,1066,1
115,1045,5
65,1099,2
85,1118,5
80,1031,4
149,1198,5
146,1047,1
139,1039,1
1,1076,2
129,1068,4
120,1187,2
119,1162,3
36,1187,3
86,1064,3
89,1123,1
88,1181,3
140,1114,2
121,1143,2
12,1181,4
118,1178,1
67,1033,1
94,1194,5
104,1165,3
106,1064,5
55,1177,1
137,1153,2
91,1154,2
146,1021,4
145,1022,1
72,1118,2
119,1119,4
57,1015,3
5,1027,5
68,1118,3
29,1093,5
37,1054,2
32,1129,4
49,1012,3
41,1178,3
123,1066,2
150,1102,4
65,1137,5
29,1170,4
8,1115,1
44,1100,3
91,1090,2
134,1075,2
77,1089,2
66,1097,1
90,1198,4
90,1005,3
123,1193,3
22,1115,1
103,1025,1
108,1116,2
121,1103,4
26,1129,1
127,1065,4
69,1062,3
33,1026,3
64,1074,3
11,1113,5
78,1038,2
39,1027,1
104,1173,2
113,1064,1
1,1052,5
83,1064,5
7,1010,5
146,1148,4
3,1038,5
15,1017,1
67,1188,5
32,1022,4
137,1095,4
78,1056,5
104,1070,2
19,1156,2
85,1184,5
24,1134,1
93,1014,3
124,1132,5
46,1148,2
98,1010,3
2,1139,2
25,1044,2
104,1154,5
59,1200,1
37,1189,2
43,1003,1
48,1093,3
87,1168,4
130,1188,3
85,1013,2
88,1145,2
52,1031,1
126,1091,5
28,1179,3
36,1137,1
117,1019,3
90,1099,2
118,1152,2
26,1004,4
31,1176,1
107,1187,5
77,1178,4
88,1093,4
103,1115,4
89,1146,5
87,1178,5
131,1021,5
51,1126,4
147,1042,1
108,1046,4
18,1134,5
53,1052,2
5,1148,3
90,1035,2
76,1048,2
102,1104,4
59,1051,1
4,1100,2
63,1029,3
1,1079,2
109,1011,3
121,1069,3
80,1200,3
101,1042,5
45,1057,4
142,1126,5
97,1129,2
117,1154,2
56,1067,2
76,1093,3
97,1082,3
135,1155,1
49,1026,4
132,1155,3
56,1104,3
133,1195,2
105,1108,3
31,1129,3
27,1055,1
47,1107,1
56,1051,1
42,1061,2
55,1017,3
27,1126,4
92,1055,4
150,1129,2
98,1089,1
38,1083,3
45,1145,5
46,1109,1
82,1129,3
56,1063,1
18,1135,1
119,1049,5
78,1191,3
63,1031,5
48,1020,4
70,1102,3
41,1008,1
52,1055,5
66,1043,4
33,1060,1
116,1080,2
133,1076,3
30,1096,2
77,1039,4
101,1026,4
1,1164,1
3,1023,4
48,1018,2
86,1132,1
23,1026,1
74,1071,5
87,1135,1
120,1071,5
88,1183,5
53,1077,1
11,1189,2
137,1049,3
76,1094,3
120,1113,2
40,1086,3
57,1183,4
68,1190,3
116,1068,4
72,1082,4
113,1032,4
17,1058,1
71,1062,3
8,1181,4
78,1115,5
17,1187,3
3,1026,4
104,1142,2
133,1010,4
30,1017,2
78,1112,1
25,1078,2
100,1034,3
108,1146,1
133,1011,1
150,1022,3
121,1129,3
86,1137,4
26,1036,4
110,1034,5
6,1183,2
129,1091,5
18,1106,2
75,1105,1
40,1102,1
77,1147,4
53,1020,4
25,1044,2
3,1165,3
102,1089,5
72,1096,4
36,1056,5
97,1065,5
115,1102,4
26,1016,5
52,1099,3
6,1134,1
125,1169,1
80,1041,1
41,1110,1
5,1030,3
9,1139,4
66,1094,5
21,1165,3
3,1095,3
78,1110,4
9,1159,4
150,1075,1
140,1004,3
65,1174,4
11,1180,1
106,1046,2
121,1155,1
114,1198,5
28,1114,1
32,1082,5
140,1063,5
32,1157,3
34,1197,5
10,1030,2
79,1001,4
67,1167,4
74,1082,2
122,1195,2
66,1194,1
82,1169,2
134,1002,5
112,1102,2
96,1133,3
51,1021,2
143,1089,4
121,1066,2
145,1051,1
113,1200,2
6,1135,5
114,1047,5
125,1106,5
85,1115,2
125,1005,2
131,1065,3
23,1031,4
133,1115,1
104,1019,1
52,1129,2
97,1117,3
55,1085,3
139,1168,3
17,1092,2
120,1048,1
116,1131,3
44,1031,3
148,1063,2
19,1036,1
1,1096,4
13,1069,4
46,1020,5
22,1130,1
17,1116,3
16,1069,2
107,1007,5
148,1072,4
90,1156,1
65,1074,2
89,1114,3
33,1093,2
40,1041,3
123,1043,5
40,1167,4
143,1137,3
28,1075,5
3,1095,2
130,1180,4
67,1022,1
31,1154,3
74,1070,1
69,1174,2
46,1160,4
45,1055,2
101,1084,4
81,1185,3
70,1163,3
97,1030,5
48,1061,3
128,1024,1
78,1088,2
40,1024,4
140,1170,4
98,1067,5
38,1083,4
55,1142,4
89,1135,5
122,1137,3
52,1081,3
83,1199,1
113,1124,5
130,1027,3
75,1062,2
49,1089,5
105,1166,2
3,1077,2
32,1112,3
16,1066,5
135,1009,2
85,1137,2
137,1167,2
146,1042,5
32,1198,2
43,1046,2
74,1153,2
92,1022,2
102,1139,3
59,1097,2
73,1110,5
129,1147,3
32,1103,4
24,1154,2
97,1084,5
8,1152,4
1,1071,3
60,1145,4
149,1120,2
60,1009,4
3,1053,3
113,1136,5
78,1105,4
110,1082,5
29,1067,3
133,1065,5
48,1006,3
149,1074,2
146,1037,5
40,1052,5
83,1144,1
88,1162,5
15,1181,5
17,1175,4
146,1049,3
136,1052,4
62,1057,2
72,1045,3
36,1144,4
113,1114,5
150,1147,4
94,1065,4
74,1054,4
46,1200,4
113,1054,3
138,1187,1
130,1067,3
149,1170,2
17,1002,5
144,1056,1
107,1055,4
122,1149,1
36,1079,1
20,1078,2
70,1160,1
78,1091,3
67,1172,4
39,1110,5
32,1068,1
12,1200,5
64,1014,1
22,1125,1
44,1083,5
2,1087,3
143,1103,5
83,1198,1
139,1115,4
123,1021,2
7,1168,4
11,1196,5
58,1078,5
118,1143,3
111,1148,3
143,1172,4
8,1039,4
64,1123,4
107,1145,1
89,1113,4
45,1008,3
121,1048,1
32,1099,3
42,1124,5
107,1161,3
89,1106,2
79,1085,1
58,1186,1
80,1057,4
11,1163,3
75,1082,1
128,1197,1
49,1138,1
45,1175,5
50,1106,1
30,1114,1
32,1143,3
9,1077,5
113,1129,3
88,1059,4
37,1161,2
63,1103,3
145,1011,3
134,1167,2
43,1191,3
84,1166,3
77,1119,1
50,1011,1
62,1098,4
113,1092,4
81,1041,3
69,1138,5
27,1026,1
18,1031,4
52,1184,2
86,1061,1
4,1116,3
79,1150,2
4,1095,1
50,1027,4
135,1190,3
87,1025,5
66,1172,2
78,1152,4
84,1006,3
103,1175,4
58,1144,2
37,1097,5
76,1077,2
64,1074,2
99,1021,3
80,1103,1
105,1048,2
132,1185,1
131,1002,3
106,1189,5
108,1044,5
64,1139,3
87,1078,4
26,1185,5
42,1057,5
87,1066,4
136,1013,5
25,1011,3
62,1011,3
75,1179,4
59,1178,1
32,1109,4
127,1170,3
87,1106,5
37,1068,4
87,1108,2
96,1074,1
95,1053,1
37,1025,5
16,1038,5
22,1035,4
3,1032,5
150,1099,3
30,1081,5
5,1200,1
111,1100,5
150,1085,5
61,1126,4
46,1087,1
50,1056,4
72,1065,3
149,1177,1
21,1122,2
79,1112,3
67,1051,3
48,1029,4
9,1018,1
72,1128,4
23,1144,2
14,1096,3
14,1036,1
15,1116,3
81,1092,4
7,1146,2
51,1188,5
39,1010,4
63,1131,2
121,1010,4
133,1195,5
48,1029,5
104,1071,5
57,1179,3
43,1182,2
76,1169,4
95,1035,2
17,1192,4
126,1194,3
67,1093,1
75,1109,5
9,1089,1
131,1034,2
32,1108,4
70,1126,4
71,1176,2
73,1130,3
127,1158,5
148,1043,2
86,1113,3
119,1118,2
53,1186,5
124,1199,4
139,1163,4
148,1039,5
90,1031,4
150,1184,3
92,1176,3
24,1046,1
4,1154,3
27,1024,5
106,1058,1
23,1035,4
103,1009,1
94,1190,2
27,1137,2
86,1115,4
92,1100,3
67,1181,1
104,1058,4
88,1044,5
63,1114,1
119,1125,4
100,1056,2
19,1139,2
32,1181,1
80,1022,3
109,1154,1
107,1184,2
31,1057,1
144,1174,3
16,1138,1
140,1097,4
36,1076,5
145,1059,3
50,1171,4
141,1167,2
12,1169,4
17,1075,3
150,1096,4
116,1138,3
90,1133,1
53,1023,2
92,1082,5
122,1089,1
18,1030,4
23,1050,4
48,1042,3
92,1077,1
4,1088,4
74,1045,3
15,1163,2
78,1041,5
42,1169,4
105,1151,4
104,1135,4
21,1157,3
81,1150,1
90,1122,3
134,1131,2
137,1192,3
14,1133,4
49,1024,3
40,1009,3
49,1030,4
103,1155,2
30,1079,4
13,1045,5
58,1038,1
121,1103,3
140,1156,4
66,1046,2
86,1141,3
42,1083,1
98,1174,4
130,1004,2
13,1080,5
135,1183,4
100,1181,5
124,1018,1
139,1124,5
55,1065,3
126,1112,4
49,1096,5
124,1072,2
97,1088,4
71,1175,1
122,1094,3
125,1103,3
78,1183,1
15,1100,4
2,1137,1
31,1075,1
98,1148,3
60,1131,2
116,1063,4
84,1115,1
107,1120,3
6,1046,3
149,1019,3
84,1087,4
41,1053,1
59,1173,1
46,1186,1
80,1097,2
16,1180,1
54,1024,4
82,1021,5
10,1026,1
26,1132,4
34,1196,1
131,1072,4
122,1044,3
39,1063,3
1,1081,2
65,1032,2
137,1017,2
